(Lookback, Entry, Exit, Stop-loss)
(30, 0.8, 0.0, 2.6): Return: 1.26%, Hit Ratio: 77.05%, Max Drawdown: 0.02%
(30, 0.8, 0.0, 2.7): Return: 1.26%, Hit Ratio: 77.05%, Max Drawdown: 0.02%
(30, 0.8, 0.1, 2.3): Return: 1.26%, Hit Ratio: 73.85%, Max Drawdown: 0.02%
(30, 0.8, 0.1, 2.4): Return: 1.26%, Hit Ratio: 76.92%, Max Drawdown: 0.02%
(30, 0.8, 0.1, 2.5): Return: 1.26%, Hit Ratio: 77.78%, Max Drawdown: 0.02%
(30, 0.8, 0.1, 2.6): Return: 1.26%, Hit Ratio: 77.78%, Max Drawdown: 0.02%
(30, 0.8, 0.1, 2.7): Return: 1.26%, Hit Ratio: 77.78%, Max Drawdown: 0.02%
(30, 0.9, -0.1, 2.3): Return: 1.26%, Hit Ratio: 75.93%, Max Drawdown: 0.02%
(30, 0.9, -0.1, 2.4): Return: 1.26%, Hit Ratio: 79.63%, Max Drawdown: 0.02%
(30, 0.9, -0.1, 2.5): Return: 1.26%, Hit Ratio: 80.77%, Max Drawdown: 0.02%
(30, 0.9, -0.1, 2.6): Return: 1.26%, Hit Ratio: 80.77%, Max Drawdown: 0.02%
(30, 0.9, -0.1, 2.7): Return: 1.26%, Hit Ratio: 80.77%, Max Drawdown: 0.02%
(35, 0.8, -0.1, 2.3): Return: 1.26%, Hit Ratio: 76.36%, Max Drawdown: 0.02%
(35, 0.8, -0.1, 2.5): Return: 1.26%, Hit Ratio: 80.0%, Max Drawdown: 0.02%
(35, 0.8, 0.0, 2.3): Return: 1.26%, Hit Ratio: 77.19%, Max Drawdown: 0.02%
(35, 0.8, 0.0, 2.4): Return: 1.26%, Hit Ratio: 80.36%, Max Drawdown: 0.02%
(35, 0.8, 0.0, 2.5): Return: 1.26%, Hit Ratio: 80.7%, Max Drawdown: 0.02%
(35, 0.8, 0.0, 2.6): Return: 1.26%, Hit Ratio: 82.14%, Max Drawdown: 0.02%
(35, 0.8, 0.0, 2.7): Return: 1.26%, Hit Ratio: 82.14%, Max Drawdown: 0.02%
(35, 0.8, 0.1, 2.3): Return: 1.26%, Hit Ratio: 73.02%, Max Drawdown: 0.05%
(35, 0.8, 0.1, 2.5): Return: 1.26%, Hit Ratio: 76.19%, Max Drawdown: 0.05%
(35, 0.9, -0.1, 2.4): Return: 1.26%, Hit Ratio: 81.25%, Max Drawdown: 0.02%
(35, 0.9, -0.1, 2.5): Return: 1.26%, Hit Ratio: 81.63%, Max Drawdown: 0.02%
(35, 0.9, -0.1, 2.6): Return: 1.26%, Hit Ratio: 83.33%, Max Drawdown: 0.02%
(35, 0.9, -0.1, 2.7): Return: 1.26%, Hit Ratio: 83.33%, Max Drawdown: 0.02%
(35, 1.0, 0.0, 2.3): Return: 1.26%, Hit Ratio: 78.72%, Max Drawdown: 0.02%
(35, 0.8, -0.1, 2.4): Return: 1.25%, Hit Ratio: 79.63%, Max Drawdown: 0.02%
(35, 0.8, -0.1, 2.6): Return: 1.25%, Hit Ratio: 81.48%, Max Drawdown: 0.02%
(35, 0.8, -0.1, 2.7): Return: 1.25%, Hit Ratio: 81.48%, Max Drawdown: 0.02%
(35, 0.8, 0.1, 2.4): Return: 1.25%, Hit Ratio: 75.81%, Max Drawdown: 0.05%
(35, 0.8, 0.1, 2.6): Return: 1.25%, Hit Ratio: 77.42%, Max Drawdown: 0.05%
(35, 0.8, 0.1, 2.7): Return: 1.25%, Hit Ratio: 77.42%, Max Drawdown: 0.05%
(35, 0.9, 0.1, 2.3): Return: 1.25%, Hit Ratio: 76.36%, Max Drawdown: 0.05%
(35, 0.9, 0.1, 2.4): Return: 1.25%, Hit Ratio: 79.63%, Max Drawdown: 0.05%
(35, 0.9, 0.1, 2.5): Return: 1.25%, Hit Ratio: 80.0%, Max Drawdown: 0.05%
(35, 0.9, 0.1, 2.6): Return: 1.25%, Hit Ratio: 81.48%, Max Drawdown: 0.05%
(35, 0.9, 0.1, 2.7): Return: 1.25%, Hit Ratio: 81.48%, Max Drawdown: 0.05%
(35, 1.0, -0.2, 2.3): Return: 1.25%, Hit Ratio: 72.73%, Max Drawdown: 0.02%
(35, 1.0, -0.2, 2.4): Return: 1.25%, Hit Ratio: 76.74%, Max Drawdown: 0.02%
(35, 1.0, -0.2, 2.5): Return: 1.25%, Hit Ratio: 77.27%, Max Drawdown: 0.02%
(35, 1.0, -0.2, 2.6): Return: 1.25%, Hit Ratio: 79.07%, Max Drawdown: 0.02%
(35, 1.0, -0.2, 2.7): Return: 1.25%, Hit Ratio: 79.07%, Max Drawdown: 0.02%
(35, 1.0, -0.1, 2.3): Return: 1.25%, Hit Ratio: 75.56%, Max Drawdown: 0.02%
(35, 1.0, 0.0, 2.4): Return: 1.25%, Hit Ratio: 82.61%, Max Drawdown: 0.02%
(35, 1.0, 0.0, 2.5): Return: 1.25%, Hit Ratio: 82.98%, Max Drawdown: 0.02%
(35, 1.0, 0.0, 2.6): Return: 1.25%, Hit Ratio: 84.78%, Max Drawdown: 0.02%
(35, 1.0, 0.0, 2.7): Return: 1.25%, Hit Ratio: 84.78%, Max Drawdown: 0.02%
(30, 0.8, -0.2, 2.5): Return: 1.25%, Hit Ratio: 76.36%, Max Drawdown: 0.02%
(30, 0.8, -0.2, 2.6): Return: 1.25%, Hit Ratio: 76.36%, Max Drawdown: 0.02%
(30, 0.8, -0.2, 2.7): Return: 1.25%, Hit Ratio: 76.36%, Max Drawdown: 0.02%
(30, 0.9, 0.0, 2.3): Return: 1.25%, Hit Ratio: 71.43%, Max Drawdown: 0.03%
(30, 0.9, 0.0, 2.4): Return: 1.25%, Hit Ratio: 75.0%, Max Drawdown: 0.03%
(30, 0.9, 0.0, 2.5): Return: 1.25%, Hit Ratio: 75.93%, Max Drawdown: 0.03%
(30, 0.9, 0.0, 2.6): Return: 1.25%, Hit Ratio: 75.93%, Max Drawdown: 0.03%
(30, 0.9, 0.0, 2.7): Return: 1.25%, Hit Ratio: 75.93%, Max Drawdown: 0.03%
(30, 0.9, 0.1, 2.4): Return: 1.25%, Hit Ratio: 77.19%, Max Drawdown: 0.03%
(30, 0.9, 0.1, 2.5): Return: 1.25%, Hit Ratio: 78.18%, Max Drawdown: 0.03%
(30, 0.9, 0.1, 2.6): Return: 1.25%, Hit Ratio: 78.18%, Max Drawdown: 0.03%
(30, 0.9, 0.1, 2.7): Return: 1.25%, Hit Ratio: 78.18%, Max Drawdown: 0.03%
