,date,open,high,low,close,volume,average,barCount
5,2020-04-20 21:27:00,7.75022,7.75028,7.75018,7.75023,-1,-1.0,-1
6,2020-04-20 21:28:00,7.75023,7.75028,7.75018,7.75027,-1,-1.0,-1
7,2020-04-20 21:29:00,7.75025,7.75028,7.7502,7.75027,-1,-1.0,-1
8,2020-04-20 21:30:00,7.75025,7.75028,7.7502,7.75026,-1,-1.0,-1
9,2020-04-20 21:31:00,7.75023,7.75026,7.75022,7.75025,-1,-1.0,-1
0,2020-04-21 09:27:00,7.75006,7.75007,7.75006,7.75007,-1,-1.0,-1
1,2020-04-21 09:28:00,7.75006,7.75007,7.75006,7.75007,-1,-1.0,-1
2,2020-04-21 09:29:00,7.75006,7.75007,7.75006,7.75007,-1,-1.0,-1
3,2020-04-21 09:30:00,7.75006,7.75007,7.75006,7.75007,-1,-1.0,-1
4,2020-04-21 09:31:00,7.75006,7.75007,7.75006,7.75007,-1,-1.0,-1
15,2020-04-21 21:27:00,7.75009,7.75013,7.75006,7.75012,-1,-1.0,-1
16,2020-04-21 21:28:00,7.75006,7.75011,7.75005,7.75011,-1,-1.0,-1
17,2020-04-21 21:29:00,7.75006,7.75011,7.75005,7.75011,-1,-1.0,-1
18,2020-04-21 21:30:00,7.75006,7.75011,7.75005,7.75011,-1,-1.0,-1
19,2020-04-21 21:31:00,7.75006,7.75011,7.75006,7.7501,-1,-1.0,-1
10,2020-04-22 09:27:00,7.75005,7.75012,7.75005,7.7501,-1,-1.0,-1
11,2020-04-22 09:28:00,7.75005,7.75013,7.75005,7.75013,-1,-1.0,-1
12,2020-04-22 09:29:00,7.75006,7.75013,7.75005,7.75013,-1,-1.0,-1
13,2020-04-22 09:30:00,7.75008,7.75015,7.75007,7.75012,-1,-1.0,-1
14,2020-04-22 09:31:00,7.75005,7.7501,7.75005,7.7501,-1,-1.0,-1
25,2020-04-22 21:27:00,7.75076,7.75082,7.75075,7.7508,-1,-1.0,-1
26,2020-04-22 21:28:00,7.75074,7.75079,7.75069,7.75077,-1,-1.0,-1
27,2020-04-22 21:29:00,7.75067,7.75071,7.7506,7.75069,-1,-1.0,-1
28,2020-04-22 21:30:00,7.75062,7.75066,7.75061,7.75066,-1,-1.0,-1
29,2020-04-22 21:31:00,7.75062,7.75065,7.75059,7.75065,-1,-1.0,-1
20,2020-04-23 09:27:00,7.7505,7.75059,7.7505,7.75057,-1,-1.0,-1
21,2020-04-23 09:28:00,7.7505,7.75058,7.7505,7.75058,-1,-1.0,-1
22,2020-04-23 09:29:00,7.7505,7.75058,7.7505,7.75058,-1,-1.0,-1
23,2020-04-23 09:30:00,7.75047,7.75058,7.75045,7.75058,-1,-1.0,-1
24,2020-04-23 09:31:00,7.75045,7.75058,7.75045,7.75058,-1,-1.0,-1
35,2020-04-23 21:27:00,7.75072,7.75075,7.75072,7.75074,-1,-1.0,-1
36,2020-04-23 21:28:00,7.75072,7.75078,7.75072,7.75076,-1,-1.0,-1
37,2020-04-23 21:29:00,7.75072,7.75078,7.75072,7.75077,-1,-1.0,-1
38,2020-04-23 21:30:00,7.75073,7.75079,7.75072,7.75078,-1,-1.0,-1
39,2020-04-23 21:31:00,7.75072,7.75078,7.75072,7.75078,-1,-1.0,-1
30,2020-04-24 09:27:00,7.75036,7.75044,7.75034,7.75043,-1,-1.0,-1
31,2020-04-24 09:28:00,7.75038,7.75045,7.75037,7.75045,-1,-1.0,-1
32,2020-04-24 09:29:00,7.75036,7.75045,7.75035,7.75045,-1,-1.0,-1
33,2020-04-24 09:30:00,7.75037,7.75046,7.75036,7.75045,-1,-1.0,-1
34,2020-04-24 09:31:00,7.75035,7.75045,7.75033,7.75043,-1,-1.0,-1
40,2020-04-24 16:55:00,7.7504,7.75053,7.7504,7.75053,-1,-1.0,-1
45,2020-04-24 16:55:00,7.7504,7.75053,7.7504,7.75053,-1,-1.0,-1
46,2020-04-24 16:56:00,7.7504,7.75054,7.7504,7.75054,-1,-1.0,-1
41,2020-04-24 16:56:00,7.7504,7.75054,7.7504,7.75054,-1,-1.0,-1
47,2020-04-24 16:57:00,7.7504,7.75055,7.7504,7.75054,-1,-1.0,-1
42,2020-04-24 16:57:00,7.7504,7.75055,7.7504,7.75054,-1,-1.0,-1
43,2020-04-24 16:58:00,7.7504,7.75055,7.7504,7.75053,-1,-1.0,-1
48,2020-04-24 16:58:00,7.7504,7.75055,7.7504,7.75053,-1,-1.0,-1
44,2020-04-24 16:59:00,7.7504,7.75071,7.7504,7.75056,-1,-1.0,-1
49,2020-04-24 16:59:00,7.7504,7.75071,7.7504,7.75056,-1,-1.0,-1
55,2020-04-26 21:27:00,7.75039,7.75044,7.75037,7.75043,-1,-1.0,-1
56,2020-04-26 21:28:00,7.7504,7.75044,7.7504,7.75044,-1,-1.0,-1
57,2020-04-26 21:29:00,7.7504,7.75044,7.7504,7.75044,-1,-1.0,-1
58,2020-04-26 21:30:00,7.7504,7.75043,7.75037,7.75043,-1,-1.0,-1
59,2020-04-26 21:31:00,7.75038,7.75041,7.75037,7.75041,-1,-1.0,-1
50,2020-04-27 09:27:00,7.75005,7.75007,7.75005,7.75007,-1,-1.0,-1
51,2020-04-27 09:28:00,7.75006,7.75008,7.75005,7.75007,-1,-1.0,-1
52,2020-04-27 09:29:00,7.75005,7.75008,7.75005,7.75008,-1,-1.0,-1
53,2020-04-27 09:30:00,7.75005,7.75008,7.75005,7.75007,-1,-1.0,-1
54,2020-04-27 09:31:00,7.75005,7.75008,7.75005,7.75007,-1,-1.0,-1
65,2020-04-27 21:27:00,7.75091,7.75095,7.75089,7.75093,-1,-1.0,-1
66,2020-04-27 21:28:00,7.7509,7.75091,7.75089,7.75091,-1,-1.0,-1
67,2020-04-27 21:29:00,7.7509,7.75091,7.75089,7.75091,-1,-1.0,-1
68,2020-04-27 21:30:00,7.7509,7.75091,7.7509,7.75091,-1,-1.0,-1
69,2020-04-27 21:31:00,7.75089,7.75091,7.75089,7.75091,-1,-1.0,-1
60,2020-04-28 09:27:00,7.7505,7.75051,7.7505,7.75051,-1,-1.0,-1
61,2020-04-28 09:28:00,7.7505,7.75051,7.7505,7.75051,-1,-1.0,-1
62,2020-04-28 09:29:00,7.7505,7.75051,7.7505,7.75051,-1,-1.0,-1
63,2020-04-28 09:30:00,7.7505,7.75051,7.7505,7.75051,-1,-1.0,-1
64,2020-04-28 09:31:00,7.7505,7.75051,7.7505,7.75051,-1,-1.0,-1
75,2020-04-28 21:27:00,7.75061,7.75068,7.75061,7.75065,-1,-1.0,-1
76,2020-04-28 21:28:00,7.75061,7.75066,7.7506,7.75066,-1,-1.0,-1
77,2020-04-28 21:29:00,7.75061,7.75065,7.7506,7.75065,-1,-1.0,-1
78,2020-04-28 21:30:00,7.75058,7.75065,7.75054,7.75065,-1,-1.0,-1
79,2020-04-28 21:31:00,7.75055,7.75063,7.75054,7.75063,-1,-1.0,-1
70,2020-04-29 09:27:00,7.75081,7.75088,7.75079,7.75085,-1,-1.0,-1
71,2020-04-29 09:28:00,7.75082,7.75088,7.75082,7.75087,-1,-1.0,-1
72,2020-04-29 09:29:00,7.75082,7.75088,7.75082,7.75087,-1,-1.0,-1
73,2020-04-29 09:30:00,7.75082,7.75088,7.75082,7.75088,-1,-1.0,-1
74,2020-04-29 09:31:00,7.75078,7.75088,7.75076,7.75085,-1,-1.0,-1
85,2020-04-29 21:27:00,7.75024,7.7503,7.75024,7.7503,-1,-1.0,-1
86,2020-04-29 21:28:00,7.75024,7.7503,7.75024,7.7503,-1,-1.0,-1
87,2020-04-29 21:29:00,7.75024,7.7503,7.75023,7.7503,-1,-1.0,-1
88,2020-04-29 21:30:00,7.75027,7.75034,7.75025,7.75034,-1,-1.0,-1
89,2020-04-29 21:31:00,7.75028,7.75034,7.75027,7.75034,-1,-1.0,-1
80,2020-04-30 09:27:00,7.7512,7.75125,7.75119,7.75121,-1,-1.0,-1
81,2020-04-30 09:28:00,7.75119,7.75121,7.75118,7.75121,-1,-1.0,-1
