,date,open,high,low,close,volume,average,barCount
0,2015-11-17 19:16:00,0.015,0.015,0.015,0.015,120000,0.015,1
1,2015-11-17 19:17:00,0.015,0.015,0.015,0.015,0,0.015,0
2,2015-11-17 19:18:00,0.015,0.015,0.015,0.015,0,0.015,0
3,2015-11-17 19:19:00,0.015,0.015,0.015,0.015,0,0.015,0
4,2015-11-17 19:20:00,0.015,0.015,0.015,0.015,0,0.015,0
5,2015-11-17 19:21:00,0.015,0.015,0.015,0.015,0,0.015,0
6,2015-11-17 19:22:00,0.015,0.015,0.015,0.015,0,0.015,0
7,2015-11-17 19:23:00,0.015,0.015,0.015,0.015,0,0.015,0
8,2015-11-17 19:24:00,0.015,0.015,0.015,0.015,0,0.015,0
9,2015-11-17 19:25:00,0.015,0.015,0.015,0.015,0,0.015,0
10,2015-11-17 19:26:00,0.015,0.015,0.015,0.015,0,0.015,0
11,2015-11-17 19:27:00,0.015,0.015,0.015,0.015,0,0.015,0
12,2015-11-17 19:28:00,0.015,0.015,0.015,0.015,0,0.015,0
13,2015-11-17 19:29:00,0.015,0.015,0.015,0.015,0,0.015,0
14,2015-11-17 19:30:00,0.015,0.015,0.015,0.015,0,0.015,0
15,2015-11-17 19:31:00,0.015,0.015,0.015,0.015,0,0.015,0
16,2015-11-17 19:32:00,0.015,0.015,0.015,0.015,0,0.015,0
17,2015-11-17 19:33:00,0.015,0.015,0.015,0.015,0,0.015,0
18,2015-11-17 19:34:00,0.015,0.015,0.015,0.015,0,0.015,0
19,2015-11-17 19:35:00,0.015,0.015,0.015,0.015,0,0.015,0
20,2015-11-17 19:36:00,0.015,0.015,0.015,0.015,0,0.015,0
21,2015-11-17 19:37:00,0.015,0.015,0.015,0.015,0,0.015,0
22,2015-11-17 19:38:00,0.015,0.015,0.015,0.015,0,0.015,0
23,2015-11-17 19:39:00,0.015,0.015,0.015,0.015,0,0.015,0
24,2015-11-17 19:40:00,0.015,0.015,0.015,0.015,0,0.015,0
25,2015-11-17 19:41:00,0.015,0.015,0.015,0.015,0,0.015,0
26,2015-11-17 19:42:00,0.015,0.015,0.015,0.015,0,0.015,0
27,2015-11-17 19:43:00,0.015,0.015,0.015,0.015,0,0.015,0
28,2015-11-17 19:44:00,0.015,0.015,0.015,0.015,0,0.015,0
29,2015-11-17 19:45:00,0.015,0.015,0.015,0.015,0,0.015,0
30,2015-11-17 19:46:00,0.015,0.015,0.015,0.015,0,0.015,0
31,2015-11-17 19:47:00,0.015,0.015,0.015,0.015,0,0.015,0
32,2015-11-17 19:48:00,0.015,0.015,0.015,0.015,0,0.015,0
33,2015-11-17 19:49:00,0.015,0.015,0.015,0.015,0,0.015,0
34,2015-11-17 19:50:00,0.015,0.015,0.015,0.015,0,0.015,0
35,2015-11-17 19:51:00,0.015,0.015,0.015,0.015,0,0.015,0
36,2015-11-17 19:52:00,0.015,0.015,0.015,0.015,0,0.015,0
37,2015-11-17 19:53:00,0.015,0.015,0.015,0.015,0,0.015,0
38,2015-11-17 19:54:00,0.015,0.015,0.015,0.015,0,0.015,0
39,2015-11-17 19:55:00,0.015,0.015,0.015,0.015,0,0.015,0
40,2015-11-17 19:56:00,0.015,0.015,0.015,0.015,0,0.015,0
41,2015-11-17 19:57:00,0.015,0.015,0.015,0.015,0,0.015,0
42,2015-11-17 19:58:00,0.015,0.015,0.015,0.015,0,0.015,0
43,2015-11-17 19:59:00,0.015,0.015,0.015,0.015,0,0.015,0
44,2015-11-17 20:00:00,0.015,0.015,0.015,0.015,0,0.015,0
45,2015-11-17 20:01:00,0.015,0.015,0.015,0.015,0,0.015,0
46,2015-11-17 20:02:00,0.015,0.015,0.015,0.015,0,0.015,0
47,2015-11-17 20:03:00,0.015,0.015,0.015,0.015,0,0.015,0
48,2015-11-17 20:04:00,0.015,0.015,0.015,0.015,0,0.015,0
49,2015-11-17 20:05:00,0.015,0.015,0.015,0.015,0,0.015,0
50,2015-11-17 20:06:00,0.015,0.015,0.015,0.015,0,0.015,0
51,2015-11-17 20:07:00,0.015,0.015,0.015,0.015,0,0.015,0
52,2015-11-17 20:08:00,0.015,0.015,0.015,0.015,0,0.015,0
53,2015-11-17 20:09:00,0.015,0.015,0.015,0.015,0,0.015,0
54,2015-11-17 20:10:00,0.015,0.015,0.015,0.015,0,0.015,0
55,2015-11-17 20:11:00,0.015,0.015,0.015,0.015,0,0.015,0
56,2015-11-17 20:12:00,0.015,0.015,0.015,0.015,0,0.015,0
57,2015-11-17 20:13:00,0.015,0.015,0.015,0.015,0,0.015,0
58,2015-11-17 20:14:00,0.015,0.015,0.015,0.015,0,0.015,0
59,2015-11-17 20:15:00,0.015,0.015,0.015,0.015,0,0.015,0
60,2015-11-17 20:16:00,0.015,0.015,0.015,0.015,0,0.015,0
61,2015-11-17 20:17:00,0.015,0.015,0.015,0.015,0,0.015,0
62,2015-11-17 20:18:00,0.015,0.015,0.015,0.015,0,0.015,0
63,2015-11-17 20:19:00,0.015,0.015,0.015,0.015,0,0.015,0
64,2015-11-17 20:20:00,0.015,0.015,0.015,0.015,0,0.015,0
65,2015-11-17 20:21:00,0.015,0.015,0.015,0.015,0,0.015,0
66,2015-11-17 20:22:00,0.015,0.015,0.015,0.015,0,0.015,0
67,2015-11-17 20:23:00,0.015,0.015,0.015,0.015,0,0.015,0
68,2015-11-17 20:24:00,0.015,0.015,0.015,0.015,0,0.015,0
69,2015-11-17 20:25:00,0.015,0.015,0.015,0.015,0,0.015,0
70,2015-11-17 20:26:00,0.015,0.015,0.015,0.015,0,0.015,0
71,2015-11-17 20:27:00,0.015,0.015,0.015,0.015,0,0.015,0
72,2015-11-17 20:28:00,0.015,0.015,0.015,0.015,0,0.015,0
73,2015-11-17 20:29:00,0.015,0.015,0.015,0.015,0,0.015,0
74,2015-11-17 20:30:00,0.015,0.015,0.015,0.015,0,0.015,0
75,2015-11-17 20:31:00,0.015,0.015,0.015,0.015,0,0.015,0
76,2015-11-17 20:32:00,0.015,0.015,0.015,0.015,0,0.015,0
